Event,Year,Image
Madison's Sendoff,2019,./images/Action/Madison Sendoff (2).jpg
Madison's Sendoff,2019,./images/Action/Madison Sendoff (3).jpg
Madison's Sendoff,2019,./images/Action/Madison Sendoff (4).jpg
Madison's Sendoff,2019,./images/Action/Madison Sendoff (5).jpg
Lab Picnic,2019,./images/Action/lab_picnic(2).jpg
Lab Picnic,2019,./images/Action/lab_picnic(1).jpg
Lab Picnic,2019,./images/Action/lab_picnic.jpg
Lab Picnic,2019,./images/Action/lab_picnic(6).jpg
Lab Picnic,2019,./images/Action/lab_picnic(7).jpg
Lab Picnic,2019,./images/Action/lab_picnic(4).jpg
Lab Picnic,2019,./images/Action/lab_picnic(3).jpg
Lab Picnic,2019,./images/Action/lab_picnic(5).jpg
Bull Hill Hiking,2018,./images/Action/BullHill_hike1.jpg
Bull Hill Hiking,2018,./images/Action/BullHill_hike2.jpg
Bull Hill Hiking,2018,./images/Action/BullHill_hike3.jpg
Lab Holiday Party,2018,./images/Action/holiday_painting4.jpg
Lab Holiday Party,2018,./images/Action/holiday_painting3.jpg
Lab Holiday Party,2018,./images/Action/holiday_painting2.jpg
Lab Holiday Party,2018,./images/Action/holiday_painting1.jpg
"Friedman Brain Institute
Holiday Party",2018,./images/Action/FBI_holiday1.jpg
"Friedman Brain Institute
Holiday Party",2018,./images/Action/FBI_holiday2.jpg
Science-ing,,./images/Action/elisa_computer_good.jpg
Science-ing,,./images/Action/elisa_thumbs.jpg
Science-ing,,./images/Action/evan_computer.jpg
Science-ing,,./images/Action/lab_girls.jpg
Science-ing,,./images/Action/labcoats.jpg
Science-ing,,./images/Action/denim_twinsies.jpg
Science-ing,,/images/Action/madison_maual_sorter.jpg
Science-ing,,./images/Action/madison_pipet.jpg
Science-ing,,./images/Action/mao_macs.jpg
Science-ing,,./images/Action/office_window.jpg
Science-ing,,./images/Action/plant.jpg
Science-ing,,./images/Action/lab_bar.jpg
Science-ing,,./images/Action/old_lab_centralPark.jpg
